Group,Mouse,Day,Rec.Session,Trial,File,Site,Cell_ID,GCID,Cell_TYPE,% Bad WF,Peak mV,Swing mV,Width usec,Amp. Assym,RMS,train_Nspk,train_FRpeak,train_FRmean,train % ISI < 2ms,train_CSI_swing,train_CSI_peaks,train_Lratio,train_Isol.D,train_ISI_mode_ms,train_ISI_mean_ms,B_num_total,B_num_per_min,B_ibi_sec,B_dur_msec,Nspk_B_Nspk_train_ratio,Spk_per_burst,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Unnamed: 51,Group_Label
SST_hM3D,D12-IS215,DAY01,DAY01_2021-03-02_14-24-54,02_S1,TT1_cut,CA1,1,2152454101,PYR_nWf,9.7626,0.2768,0.4342,181.1024,-0.2748,0.118,2612,33.0602,1.049,0.0,31.317,25.1149,0.0134,42.7326,3.75,953.0107,680.0,16.3917,3.6626,7.3327,0.6045,2.3221,499,150.0,24.0,7.0,,,,,,,,,,,,,,,,,Exc
SST_hM3D,D12-IS215,DAY01,DAY01_2021-03-02_14-24-54,02_S1,TT1_cut,CA1,2,2152454102,PYR,6.8401,0.167,0.2393,212.5984,-0.3955,0.0628,6535,48.5009,2.6255,0.0765,42.2494,34.6595,0.0074,35.9684,3.75,380.8895,2114.0,50.9589,1.1772,7.303,0.7842,2.4243,1394,574.0,119.0,23.0,4.0,,,,,,,,,,,,,,,,Exc
SST_hM3D,D12-IS215,DAY01,DAY01_2021-03-02_14-24-54,02_S1,TT1_cut,CA1,3,2152454103,PYR_nWf,2.7569,0.2132,0.3157,188.9764,-0.3507,0.0907,1995,17.656,0.8015,0.0,19.6491,15.3383,0.0791,36.399,4.0,1234.695,294.0,7.087,8.3175,6.7795,0.3188,2.1633,249,42.0,3.0,,,,,,,,,,,,,,,,,,Exc
SST_hM3D,D12-IS215,DAY01,DAY01_2021-03-02_14-24-54,02_S1,TT1_cut,CA1,6,2152454106,PYR,2.9138,0.0837,0.1131,338.5827,-0.48,0.0331,13522,37.0757,5.4326,0.3402,21.1285,17.2829,0.4034,12.7944,4.25,184.0591,3078.0,74.1966,0.8086,7.8996,0.542,2.3811,2183,687.0,146.0,54.0,8.0,,,,,,,,,,,,,,,,Exc
SST_hM3D,D12-IS215,DAY01,DAY01_2021-03-02_14-24-54,02_S1,TT2_cut,CA1,1,2152454201,PYR,12.8106,0.1709,0.2828,291.3386,-0.2088,0.0902,3864,20.3556,1.5524,0.0518,23.1366,9.2133,0.029,37.861,5.625,640.1151,533.0,12.8482,4.2395,8.0258,0.2899,2.1013,490,34.0,7.0,2.0,,,,,,,,,,,,,,,,,Exc
SST_hM3D,D12-IS215,DAY01,DAY01_2021-03-02_14-24-54,02_S1,TT2_cut,CA1,2,2152454202,PYR,11.2951,0.176,0.236,307.0866,-0.4915,0.067,7490,40.2888,3.0092,0.1068,11.4686,10.721,0.0446,24.4942,4.219,332.3376,1332.0,32.1084,1.8661,7.2007,0.396,2.2267,1080,210.0,34.0,8.0,,,,,,,,,,,,,,,,,Exc
SST_hM3D,D12-IS215,DAY01,DAY01_2021-03-02_14-24-54,02_S1,TT2_cut,CA1,4,2152454204,PYR,7.2558,0.1986,0.2908,346.4567,-0.3662,0.0832,3542,13.5715,1.423,0.0282,21.4003,22.0215,0.0657,27.1385,5.375,702.3625,696.0,16.7774,3.5568,7.0524,0.4051,2.0618,656,38.0,1.0,1.0,,,,,,,,,,,,,,,,,Exc
SST_hM3D,D12-IS215,DAY01,DAY01_2021-03-02_14-24-54,02_S1,TT2_cut,CA1,6,2152454206,PYR,22.5837,0.1666,0.2709,346.4567,-0.2301,0.0829,6270,32.9776,2.519,0.4306,18.2935,8.8517,0.7089,10.3797,3.75,392.3717,970.0,23.3823,2.4969,6.9141,0.3494,2.2588,750,191.0,27.0,2.0,,,,,,,,,,,,,,,,,Exc
SST_hM3D,D12-IS215,DAY01,DAY01_2021-03-02_14-24-54,02_S1,TT3_cut,CA1,2,2152454302,PYR,4.2498,0.143,0.208,456.6929,-0.3756,0.0646,1553,7.8007,0.6239,0.0644,34.5782,35.0934,0.1078,17.7062,4.875,1603.0113,419.0,10.1002,5.9462,6.8865,0.5873,2.1766,349,66.0,4.0,,,,,,,,,,,,,,,,,,Exc
SST_hM3D,D12-IS215,DAY01,DAY01_2021-03-02_14-24-54,02_S1,TT3_cut,CA1,3,2152454303,PYR,1.0142,0.0873,0.1215,488.189,-0.4364,0.0339,3451,10.2435,1.3865,0.0869,11.8227,8.5772,0.1075,21.6518,7.094,721.3304,681.0,16.4158,3.654,8.8691,0.4633,2.348,489,154.0,32.0,5.0,1.0,,,,,,,,,,,,,,,,Exc
SST_hM3D,D12-IS215,DAY01,DAY01_2021-03-02_14-24-54,02_S1,TT3_cut,CA1,4,2152454304,PYR,6.9146,0.1571,0.2091,307.0866,-0.5024,0.0588,10514,69.4454,4.2237,0.0476,21.2764,19.6975,0.0206,30.3029,4.125,236.7546,2319.0,55.9005,1.0737,7.2218,0.4926,2.2333,1866,380.0,61.0,10.0,1.0,1.0,,,,,,,,,,,,,,,Exc
